id,vendor,model,cpu,elux_release
fujitsu_futro_s9011_nvidia_quadro_t400_43,Fujitsu,FUTRO S9011,NVIDIA Quadro T400,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
fujitsu_futro_s7011_44,Fujitsu,FUTRO S7011,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
fujitsu_futro_s5011_45,Fujitsu,FUTRO S5011,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
fujitsu_futro_s9010_46,Fujitsu,FUTRO S9010,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
fujitsu_futro_s940_47,Fujitsu,FUTRO S940,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
fujitsu_futro_s740_48,Fujitsu,FUTRO S740,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
fujitsu_futro_s540_49,Fujitsu,FUTRO S540,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_mt645_g8_50,HP,mt645 G8,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_mt645_g7_51,HP,mt645 G7,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_pro_mt440_g3_52,HP,Pro mt440 G3,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_mt46_53,HP,mt46,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_mt45_54,HP,mt45,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_mt22_55,HP,mt22,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_mt21_56,HP,mt21,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_elite_t755_57,HP,Elite t755,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_elite_t655_58,HP,Elite t655,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_pro_t550_59,HP,Pro t550,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_t740_60,HP,t740,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_t640_61,HP,t640,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_t540_62,HP,t540,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_t730_63,HP,t730,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_t630_64,HP,t630,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_t530_65,HP,t530,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
hp_t430_66,HP,t430,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
igel_ud3_m350c_67,IGEL,UD3 M350C,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
lenovo_thinkpad_e14_gen_7_intel_ultra_5_225u_68,Lenovo,ThinkPad E14 Gen 7,Intel Ultra 5 225U,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
lenovo_thinkpad_l16_gen1_intel_core_ultra_5_125u_69,Lenovo,ThinkPad L16 Gen1,Intel Core Ultra 5 125U,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
lenovo_thinkpad_l14_gen5_intel_core_ultra_5_125u_70,Lenovo,ThinkPad L14 Gen5,Intel Core Ultra 5 125U,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
lenovo_thinkcentre_m720q_tiny_intel_core_i5_9500t_71,Lenovo,ThinkCentre M720q Tiny,Intel Core i5-9500T,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
lenovo_thinkcentre_m70q_gen_5_intel_core_i3_14100t_72,Lenovo,ThinkCentre M70q Gen 5,Intel Core i3-14100T,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
lg_gram_mobile_thin_client_17zt90r_g_ax34g_intel_core_i3_1315u_13th_gen_73,LG,gram Mobile Thin Client 17ZT90R-G.AX34G,Intel Core i3-1315U (13th Gen),eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
lg_thin_client_cl600n_6n_74,LG,Thin Client CL600N-6N,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
mostron_touch_panel_pc_tspc5_24_75,MOStron,Touch-Panel-PC TSPC5-24,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
nexterminal_nexlaptop_iv_76,NEXterminal,NEXlaptop IV,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
nexterminal_nexstation_xi_dp_dp2_intel_quad_core_2_0ghz_77,NEXterminal,NEXstation XI DP/DP2,Intel Quad Core 2.0GHz,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
nexterminal_nexstation_x_78,NEXterminal,NEXstation X,,eLux 7 2603 LTSR CU1; eLux 7 2605 EAR
