vendor;modello;CPU;note;eLux release
HP;Pro t550;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
HP;t740;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
HP;t640;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
HP;t540;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
HP;t730;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
HP;t630;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
HP;t530;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
HP;t430;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
IGEL;UD3 M350C;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Lenovo;ThinkPad E14 Gen 7;Intel Ultra 5 225U;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Lenovo;ThinkPad L16 Gen1;Intel Core Ultra 5 125U;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Lenovo;ThinkPad L14 Gen5;Intel Core Ultra 5 125U;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Lenovo;ThinkCentre M720q Tiny;Intel Core i5-9500T;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
Lenovo;ThinkCentre M70q Gen 5;Intel Core i3-14100T;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
LG;gram Mobile Thin Client 17ZT90R-G.AX34G;Intel Core i3-1315U (13th Gen);;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
LG;Thin Client CL600N-6N;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
MOStron;Touch-Panel-PC TSPC5-24;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
NEXterminal;NEXlaptop IV;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
NEXterminal;NEXstation XI DP/DP2;Intel Quad Core 2.0GHz;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
NEXterminal;NEXstation X;;;"eLux 7 2603 LTSR CU1; eLux 7 2605 EAR"
